case,Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path,type_label_source,type_label_confidence,type_label_review_priority
Case2,8x8_074,-1.0,-8.0,4850.751189382047,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_074,data/New_data/8x8_Case2/csv/force_disp_Test_074.csv,curve_classifier_pseudo_label,0.895,low
Case2,8x8_075,-22.0,82.0,4607.7273268511535,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_075,data/New_data/8x8_Case2/csv/force_disp_Test_075.csv,curve_classifier_pseudo_label,0.8066666666666666,medium
Case2,8x8_076,50.0,5.0,5394.339911148387,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_076,data/New_data/8x8_Case2/csv/force_disp_Test_076.csv,curve_classifier_pseudo_label,0.55,high
Case2,8x8_077,-64.0,20.0,5384.563257292823,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_077,data/New_data/8x8_Case2/csv/force_disp_Test_077.csv,curve_classifier_pseudo_label,0.6833333333333333,high
Case2,8x8_078,29.0,-79.0,5034.99062742488,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_078,data/New_data/8x8_Case2/csv/force_disp_Test_078.csv,curve_classifier_pseudo_label,0.715,medium
Case2,8x8_079,-67.0,39.0,5975.169734540399,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_079,data/New_data/8x8_Case2/csv/force_disp_Test_079.csv,curve_classifier_pseudo_label,0.6316666666666667,high
Case2,8x8_080,-53.0,-64.0,6613.877621257254,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_080,data/New_data/8x8_Case2/csv/force_disp_Test_080.csv,curve_classifier_pseudo_label,0.4816666666666667,high
Case2,8x8_081,-38.0,-72.0,5658.21080270886,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_081,data/New_data/8x8_Case2/csv/force_disp_Test_081.csv,curve_classifier_pseudo_label,0.6516666666666666,high
Case2,8x8_082,85.0,48.0,5285.769770789521,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_082,data/New_data/8x8_Case2/csv/force_disp_Test_082.csv,curve_classifier_pseudo_label,0.5266666666666666,high
Case2,8x8_083,-12.0,85.0,4206.4510157485765,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_083,data/New_data/8x8_Case2/csv/force_disp_Test_083.csv,curve_classifier_pseudo_label,0.545,high
Case2,8x8_084,77.0,-48.0,5623.399988696108,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_084,data/New_data/8x8_Case2/csv/force_disp_Test_084.csv,curve_classifier_pseudo_label,0.49833333333333335,high
Case2,8x8_085,45.0,75.0,5674.907944961527,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_085,data/New_data/8x8_Case2/csv/force_disp_Test_085.csv,curve_classifier_pseudo_label,0.5616666666666666,high
Case2,8x8_086,-41.0,-54.0,6843.916456755203,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_086,data/New_data/8x8_Case2/csv/force_disp_Test_086.csv,curve_classifier_pseudo_label,0.5383333333333333,high
Case2,8x8_087,-38.0,89.0,5039.277022834803,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_087,data/New_data/8x8_Case2/csv/force_disp_Test_087.csv,curve_classifier_pseudo_label,0.7,medium
Case2,8x8_088,23.0,33.0,6272.23600342667,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_088,data/New_data/8x8_Case2/csv/force_disp_Test_088.csv,curve_classifier_pseudo_label,0.675,high
Case2,8x8_089,18.0,-35.0,5926.064896432755,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_089,data/New_data/8x8_Case2/csv/force_disp_Test_089.csv,curve_classifier_pseudo_label,0.685,high
Case2,8x8_090,-65.0,24.0,5520.705433430067,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_090,data/New_data/8x8_Case2/csv/force_disp_Test_090.csv,curve_classifier_pseudo_label,0.7083333333333334,medium
Case2,8x8_091,11.0,36.0,5551.691611531231,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_091,data/New_data/8x8_Case2/csv/force_disp_Test_091.csv,curve_classifier_pseudo_label,0.7666666666666667,medium
Case2,8x8_092,-38.0,-40.0,7392.826189776673,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_092,data/New_data/8x8_Case2/csv/force_disp_Test_092.csv,curve_classifier_pseudo_label,0.49166666666666664,high
Case2,8x8_093,-70.0,-78.0,3789.3880033345195,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_093,data/New_data/8x8_Case2/csv/force_disp_Test_093.csv,curve_classifier_pseudo_label,0.49166666666666664,high
Case2,8x8_094,73.0,-55.0,5910.468465200709,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_094,data/New_data/8x8_Case2/csv/force_disp_Test_094.csv,curve_classifier_pseudo_label,0.47833333333333333,high
Case2,8x8_095,68.0,-30.0,5564.943577045639,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_095,data/New_data/8x8_Case2/csv/force_disp_Test_095.csv,curve_classifier_pseudo_label,0.6983333333333334,high
Case2,8x8_096,84.0,-52.0,5332.55559180839,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_096,data/New_data/8x8_Case2/csv/force_disp_Test_096.csv,curve_classifier_pseudo_label,0.4633333333333333,high
Case2,8x8_097,-46.0,-23.0,6085.6091043387,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_097,data/New_data/8x8_Case2/csv/force_disp_Test_097.csv,curve_classifier_pseudo_label,0.4866666666666667,high
Case2,8x8_098,-1.0,36.0,5552.336691623226,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_098,data/New_data/8x8_Case2/csv/force_disp_Test_098.csv,curve_classifier_pseudo_label,0.8,medium
Case2,8x8_099,90.0,40.0,5091.160057513779,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_099,data/New_data/8x8_Case2/csv/force_disp_Test_099.csv,curve_classifier_pseudo_label,0.54,high
Case2,8x8_100,69.0,62.0,5563.375616949014,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_100,data/New_data/8x8_Case2/csv/force_disp_Test_100.csv,curve_classifier_pseudo_label,0.54,high
Case2,8x8_101,48.0,15.0,5708.609697971082,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_101,data/New_data/8x8_Case2/csv/force_disp_Test_101.csv,curve_classifier_pseudo_label,0.5016666666666667,high
Case2,8x8_102,76.0,-24.0,4976.262058518107,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_102,data/New_data/8x8_Case2/csv/force_disp_Test_102.csv,curve_classifier_pseudo_label,0.6866666666666666,high
Case2,8x8_103,66.0,14.0,5046.599201298715,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_103,data/New_data/8x8_Case2/csv/force_disp_Test_103.csv,curve_classifier_pseudo_label,0.6216666666666667,high
Case2,8x8_104,83.0,3.0,3938.8282870176163,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_104,data/New_data/8x8_Case2/csv/force_disp_Test_104.csv,curve_classifier_pseudo_label,0.5333333333333333,high
Case2,8x8_105,89.0,-77.0,2785.0264685963316,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_105,data/New_data/8x8_Case2/csv/force_disp_Test_105.csv,curve_classifier_pseudo_label,0.53,high
Case2,8x8_106,-12.0,43.0,5756.247257568508,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_106,data/New_data/8x8_Case2/csv/force_disp_Test_106.csv,curve_classifier_pseudo_label,0.5366666666666666,high
Case2,8x8_107,69.0,8.0,4574.056619399754,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_107,data/New_data/8x8_Case2/csv/force_disp_Test_107.csv,curve_classifier_pseudo_label,0.57,high
Case2,8x8_108,46.0,-72.0,5896.19037767833,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_108,data/New_data/8x8_Case2/csv/force_disp_Test_108.csv,curve_classifier_pseudo_label,0.5316666666666666,high
Case2,8x8_109,-69.0,17.0,4923.408038451381,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_109,data/New_data/8x8_Case2/csv/force_disp_Test_109.csv,curve_classifier_pseudo_label,0.6933333333333334,high
Case2,8x8_110,-51.0,1.0,5274.184506593638,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_110,data/New_data/8x8_Case2/csv/force_disp_Test_110.csv,curve_classifier_pseudo_label,0.49666666666666665,high
Case2,8x8_111,7.0,87.0,3862.4930191416047,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_111,data/New_data/8x8_Case2/csv/force_disp_Test_111.csv,curve_classifier_pseudo_label,0.51,high
Case2,8x8_112,21.0,-8.0,5384.844460113308,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_112,data/New_data/8x8_Case2/csv/force_disp_Test_112.csv,curve_classifier_pseudo_label,0.8733333333333333,low
Case2,8x8_113,35.0,-2.0,5388.353778146293,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_113,data/New_data/8x8_Case2/csv/force_disp_Test_113.csv,curve_classifier_pseudo_label,0.8366666666666667,medium
Case2,8x8_114,-35.0,-78.0,5223.919037000131,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_114,data/New_data/8x8_Case2/csv/force_disp_Test_114.csv,curve_classifier_pseudo_label,0.68,high
Case2,8x8_115,22.0,74.0,4967.663079130816,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_115,data/New_data/8x8_Case2/csv/force_disp_Test_115.csv,curve_classifier_pseudo_label,0.7683333333333333,medium
Case2,8x8_116,12.0,-85.0,4201.568511421046,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_116,data/New_data/8x8_Case2/csv/force_disp_Test_116.csv,curve_classifier_pseudo_label,0.49,high
Case2,8x8_117,-87.0,33.0,4882.6421052346805,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_117,data/New_data/8x8_Case2/csv/force_disp_Test_117.csv,curve_classifier_pseudo_label,0.7233333333333334,medium
Case2,8x8_118,54.0,-88.0,5230.0459479491665,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_118,data/New_data/8x8_Case2/csv/force_disp_Test_118.csv,curve_classifier_pseudo_label,0.47333333333333333,high
Case2,8x8_119,31.0,-10.0,5539.918097002486,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_119,data/New_data/8x8_Case2/csv/force_disp_Test_119.csv,curve_classifier_pseudo_label,0.835,medium
Case2,8x8_120,-58.0,-26.0,5885.4709148117345,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_120,data/New_data/8x8_Case2/csv/force_disp_Test_120.csv,curve_classifier_pseudo_label,0.6283333333333333,high
Case2,8x8_121,-50.0,14.0,5679.41895745901,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_121,data/New_data/8x8_Case2/csv/force_disp_Test_121.csv,curve_classifier_pseudo_label,0.5016666666666667,high
Case2,8x8_122,20.0,-73.0,4927.547212368724,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_122,data/New_data/8x8_Case2/csv/force_disp_Test_122.csv,curve_classifier_pseudo_label,0.72,medium
Case2,8x8_123,76.0,4.0,4315.493301056991,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_123,data/New_data/8x8_Case2/csv/force_disp_Test_123.csv,curve_classifier_pseudo_label,0.5433333333333333,high
Case2,8x8_124,42.0,-66.0,6158.471279575665,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_124,data/New_data/8x8_Case2/csv/force_disp_Test_124.csv,curve_classifier_pseudo_label,0.5666666666666667,high
Case2,8x8_125,-3.0,72.0,4337.723015412987,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_125,data/New_data/8x8_Case2/csv/force_disp_Test_125.csv,curve_classifier_pseudo_label,0.49333333333333335,high
Case2,8x8_126,-8.0,18.0,5401.476436129227,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_126,data/New_data/8x8_Case2/csv/force_disp_Test_126.csv,curve_classifier_pseudo_label,0.8,medium
Case2,8x8_127,-66.0,77.0,4341.862375597012,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_127,data/New_data/8x8_Case2/csv/force_disp_Test_127.csv,curve_classifier_pseudo_label,0.485,high
Case2,8x8_128,59.0,-70.0,6146.200806157948,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_128,data/New_data/8x8_Case2/csv/force_disp_Test_128.csv,curve_classifier_pseudo_label,0.5716666666666667,high
Case2,8x8_129,24.0,11.0,5616.151698089326,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_129,data/New_data/8x8_Case2/csv/force_disp_Test_129.csv,curve_classifier_pseudo_label,0.87,low
Case2,8x8_130,-59.0,12.0,5375.351429730151,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_130,data/New_data/8x8_Case2/csv/force_disp_Test_130.csv,curve_classifier_pseudo_label,0.6033333333333334,high
Case2,8x8_131,41.0,53.0,6912.032831790356,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_131,data/New_data/8x8_Case2/csv/force_disp_Test_131.csv,curve_classifier_pseudo_label,0.53,high
Case2,8x8_132,38.0,35.0,7197.249448758964,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_132,data/New_data/8x8_Case2/csv/force_disp_Test_132.csv,curve_classifier_pseudo_label,0.43166666666666664,high
Case2,8x8_133,-21.0,37.0,6220.51691614624,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_133,data/New_data/8x8_Case2/csv/force_disp_Test_133.csv,curve_classifier_pseudo_label,0.57,high
Case2,8x8_134,-56.0,37.0,6595.143052200749,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_134,data/New_data/8x8_Case2/csv/force_disp_Test_134.csv,curve_classifier_pseudo_label,0.605,high
Case2,8x8_135,39.0,-76.0,5450.459886603215,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_135,data/New_data/8x8_Case2/csv/force_disp_Test_135.csv,curve_classifier_pseudo_label,0.6316666666666667,high
Case2,8x8_136,8.0,-68.0,4753.636747515623,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_136,data/New_data/8x8_Case2/csv/force_disp_Test_136.csv,curve_classifier_pseudo_label,0.655,high
Case2,8x8_137,68.0,53.0,6255.139627078279,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_137,data/New_data/8x8_Case2/csv/force_disp_Test_137.csv,curve_classifier_pseudo_label,0.4666666666666667,high
Case2,8x8_138,-28.0,-75.0,5135.269359186797,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_138,data/New_data/8x8_Case2/csv/force_disp_Test_138.csv,curve_classifier_pseudo_label,0.6816666666666666,high
Case2,8x8_139,-52.0,-36.0,6652.703034459756,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_139,data/New_data/8x8_Case2/csv/force_disp_Test_139.csv,curve_classifier_pseudo_label,0.5583333333333333,high
Case2,8x8_140,1.0,-3.0,4583.033747370783,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_140,data/New_data/8x8_Case2/csv/force_disp_Test_140.csv,curve_classifier_pseudo_label,0.8783333333333333,low
Case2,8x8_141,79.0,49.0,5501.998946384676,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_141,data/New_data/8x8_Case2/csv/force_disp_Test_141.csv,curve_classifier_pseudo_label,0.52,high
Case2,8x8_142,56.0,10.0,5381.495172553362,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_142,data/New_data/8x8_Case2/csv/force_disp_Test_142.csv,curve_classifier_pseudo_label,0.49833333333333335,high
Case2,8x8_143,39.0,-35.0,7203.165992142128,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_143,data/New_data/8x8_Case2/csv/force_disp_Test_143.csv,curve_classifier_pseudo_label,0.47,high
Case2,8x8_144,-86.0,-39.0,5092.526461682307,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_144,data/New_data/8x8_Case2/csv/force_disp_Test_144.csv,curve_classifier_pseudo_label,0.6183333333333333,high
Case2,8x8_145,29.0,32.0,6818.973927286509,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_145,data/New_data/8x8_Case2/csv/force_disp_Test_145.csv,curve_classifier_pseudo_label,0.59,high
Case2,8x8_146,-41.0,-28.0,6498.918056289,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_146,data/New_data/8x8_Case2/csv/force_disp_Test_146.csv,curve_classifier_pseudo_label,0.4716666666666667,high
Case2,8x8_147,47.0,23.0,6087.938731672308,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_147,data/New_data/8x8_Case2/csv/force_disp_Test_147.csv,curve_classifier_pseudo_label,0.5083333333333333,high
Case2,8x8_148,46.0,-62.0,6605.992769009551,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_148,data/New_data/8x8_Case2/csv/force_disp_Test_148.csv,curve_classifier_pseudo_label,0.5133333333333333,high
Case2,8x8_149,24.0,-59.0,5826.785428118063,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_149,data/New_data/8x8_Case2/csv/force_disp_Test_149.csv,curve_classifier_pseudo_label,0.675,high
Case2,8x8_150,15.0,-47.0,5727.255233728309,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_150,data/New_data/8x8_Case2/csv/force_disp_Test_150.csv,curve_classifier_pseudo_label,0.47833333333333333,high
Case2,8x8_151,-66.0,-82.0,4022.8190443347034,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_151,data/New_data/8x8_Case2/csv/force_disp_Test_151.csv,curve_classifier_pseudo_label,0.51,high
Case2,8x8_152,-23.0,-66.0,5334.59699260307,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_152,data/New_data/8x8_Case2/csv/force_disp_Test_152.csv,curve_classifier_pseudo_label,0.6616666666666666,high
Case2,8x8_153,50.0,-62.0,6768.342423421428,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_153,data/New_data/8x8_Case2/csv/force_disp_Test_153.csv,curve_classifier_pseudo_label,0.465,high
Case2,8x8_154,-65.0,-65.0,5429.065308218205,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_154,data/New_data/8x8_Case2/csv/force_disp_Test_154.csv,curve_classifier_pseudo_label,0.56,high
Case2,8x8_155,11.0,-32.0,5750.285051577952,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_155,data/New_data/8x8_Case2/csv/force_disp_Test_155.csv,curve_classifier_pseudo_label,0.8133333333333334,medium
Case2,8x8_156,70.0,-86.0,3437.6711552698616,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_156,data/New_data/8x8_Case2/csv/force_disp_Test_156.csv,curve_classifier_pseudo_label,0.5116666666666667,high
Case2,8x8_157,78.0,-26.0,4937.500485691486,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_157,data/New_data/8x8_Case2/csv/force_disp_Test_157.csv,curve_classifier_pseudo_label,0.68,high
Case2,8x8_158,17.0,-43.0,5939.211483448766,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_158,data/New_data/8x8_Case2/csv/force_disp_Test_158.csv,curve_classifier_pseudo_label,0.53,high
Case2,8x8_159,-9.0,-4.0,4796.946624828062,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_159,data/New_data/8x8_Case2/csv/force_disp_Test_159.csv,curve_classifier_pseudo_label,0.8933333333333333,low
Case2,8x8_160,47.0,-13.0,5687.811471804471,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_160,data/New_data/8x8_Case2/csv/force_disp_Test_160.csv,curve_classifier_pseudo_label,0.5033333333333333,high
Case2,8x8_161,-43.0,-45.0,7538.363805832825,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_161,data/New_data/8x8_Case2/csv/force_disp_Test_161.csv,curve_classifier_pseudo_label,0.47833333333333333,high
Case2,8x8_162,-71.0,-11.0,4598.811461692567,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_162,data/New_data/8x8_Case2/csv/force_disp_Test_162.csv,curve_classifier_pseudo_label,0.6333333333333333,high
Case2,8x8_163,-84.0,28.0,4804.713776061654,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_163,data/New_data/8x8_Case2/csv/force_disp_Test_163.csv,curve_classifier_pseudo_label,0.72,medium
Case2,8x8_164,-16.0,-5.0,5070.676512261307,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_164,data/New_data/8x8_Case2/csv/force_disp_Test_164.csv,curve_classifier_pseudo_label,0.8583333333333333,low
Case2,8x8_165,-5.0,10.0,5088.129185042229,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_165,data/New_data/8x8_Case2/csv/force_disp_Test_165.csv,curve_classifier_pseudo_label,0.89,low
Case2,8x8_166,-61.0,-3.0,4946.219657772605,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_166,data/New_data/8x8_Case2/csv/force_disp_Test_166.csv,curve_classifier_pseudo_label,0.5666666666666667,high
Case2,8x8_167,-4.0,-6.0,4876.812472349739,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_167,data/New_data/8x8_Case2/csv/force_disp_Test_167.csv,curve_classifier_pseudo_label,0.8933333333333333,low
Case2,8x8_168,-5.0,-1.0,4919.616921132867,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_168,data/New_data/8x8_Case2/csv/force_disp_Test_168.csv,curve_classifier_pseudo_label,0.8966666666666666,low
Case2,8x8_169,58.0,-70.0,6148.203607929557,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_169,data/New_data/8x8_Case2/csv/force_disp_Test_169.csv,curve_classifier_pseudo_label,0.5583333333333333,high
Case2,8x8_170,-35.0,-50.0,6725.129138554492,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_170,data/New_data/8x8_Case2/csv/force_disp_Test_170.csv,curve_classifier_pseudo_label,0.54,high
Case2,8x8_171,-6.0,-18.0,5181.711601922757,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_171,data/New_data/8x8_Case2/csv/force_disp_Test_171.csv,curve_classifier_pseudo_label,0.88,low
Case2,8x8_172,-68.0,5.0,4678.2550882518635,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_172,data/New_data/8x8_Case2/csv/force_disp_Test_172.csv,curve_classifier_pseudo_label,0.585,high
Case2,8x8_173,82.0,-55.0,5395.142350876158,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_173,data/New_data/8x8_Case2/csv/force_disp_Test_173.csv,curve_classifier_pseudo_label,0.47833333333333333,high
Case2,8x8_174,-76.0,51.0,5715.2778637345145,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_174,data/New_data/8x8_Case2/csv/force_disp_Test_174.csv,curve_classifier_pseudo_label,0.52,high
Case2,8x8_175,-73.0,85.0,3184.429099864086,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_175,data/New_data/8x8_Case2/csv/force_disp_Test_175.csv,curve_classifier_pseudo_label,0.48,high
Case2,8x8_176,-36.0,30.0,6826.949939587022,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_176,data/New_data/8x8_Case2/csv/force_disp_Test_176.csv,curve_classifier_pseudo_label,0.43166666666666664,high
Case2,8x8_177,25.0,-81.0,4748.69536107594,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_177,data/New_data/8x8_Case2/csv/force_disp_Test_177.csv,curve_classifier_pseudo_label,0.7233333333333334,medium
Case2,8x8_178,27.0,63.0,5749.7652321896885,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_178,data/New_data/8x8_Case2/csv/force_disp_Test_178.csv,curve_classifier_pseudo_label,0.7233333333333334,medium
Case2,8x8_179,73.0,-44.0,5779.68081657179,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_179,data/New_data/8x8_Case2/csv/force_disp_Test_179.csv,curve_classifier_pseudo_label,0.535,high
Case2,8x8_180,-14.0,88.0,4084.422420677272,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_180,data/New_data/8x8_Case2/csv/force_disp_Test_180.csv,curve_classifier_pseudo_label,0.5716666666666667,high
Case2,8x8_181,88.0,45.0,5195.6691560416475,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_181,data/New_data/8x8_Case2/csv/force_disp_Test_181.csv,curve_classifier_pseudo_label,0.5466666666666666,high
Case2,8x8_182,-14.0,42.0,5871.585809613483,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_182,data/New_data/8x8_Case2/csv/force_disp_Test_182.csv,curve_classifier_pseudo_label,0.5333333333333333,high
Case2,8x8_183,37.0,63.0,6161.853144610753,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_183,data/New_data/8x8_Case2/csv/force_disp_Test_183.csv,curve_classifier_pseudo_label,0.63,high
Case2,8x8_184,83.0,43.0,5227.683138878819,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_184,data/New_data/8x8_Case2/csv/force_disp_Test_184.csv,curve_classifier_pseudo_label,0.5433333333333333,high
Case2,8x8_185,-18.0,49.0,5804.1197308932815,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_185,data/New_data/8x8_Case2/csv/force_disp_Test_185.csv,curve_classifier_pseudo_label,0.5783333333333334,high
Case2,8x8_186,-54.0,1.0,5232.883509148011,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_186,data/New_data/8x8_Case2/csv/force_disp_Test_186.csv,curve_classifier_pseudo_label,0.505,high
Case2,8x8_187,-47.0,-37.0,6992.555135084752,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_187,data/New_data/8x8_Case2/csv/force_disp_Test_187.csv,curve_classifier_pseudo_label,0.5433333333333333,high
Case2,8x8_188,-40.0,56.0,6725.237747245391,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_188,data/New_data/8x8_Case2/csv/force_disp_Test_188.csv,curve_classifier_pseudo_label,0.5716666666666667,high
Case2,8x8_189,34.0,0.0,5492.604699156051,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_189,data/New_data/8x8_Case2/csv/force_disp_Test_189.csv,curve_classifier_pseudo_label,0.8316666666666667,medium
Case2,8x8_190,-80.0,40.0,5346.784173342428,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_190,data/New_data/8x8_Case2/csv/force_disp_Test_190.csv,curve_classifier_pseudo_label,0.6483333333333333,high
Case2,8x8_191,-75.0,6.0,4266.773991404063,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_191,data/New_data/8x8_Case2/csv/force_disp_Test_191.csv,curve_classifier_pseudo_label,0.48333333333333334,high
Case2,8x8_192,89.0,-86.0,2388.6068077760133,1,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_192,data/New_data/8x8_Case2/csv/force_disp_Test_192.csv,curve_classifier_pseudo_label,0.5333333333333333,high
Case2,8x8_193,48.0,41.0,7200.12163879943,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_193,data/New_data/8x8_Case2/csv/force_disp_Test_193.csv,curve_classifier_pseudo_label,0.5,high
Case2,8x8_194,-11.0,-16.0,5417.307489245084,3,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_194,data/New_data/8x8_Case2/csv/force_disp_Test_194.csv,curve_classifier_pseudo_label,0.885,low
Case2,8x8_195,12.0,71.0,4718.298943371894,2,8.0,8.0,8x8_new_data_curve_classifier_v1,Test_195,data/New_data/8x8_Case2/csv/force_disp_Test_195.csv,curve_classifier_pseudo_label,0.7416666666666667,medium
